id;price;name
Г7646;1190;Звуковая карта Creative S.B. Audigy SB SE SB0570
Г9313;1490;Видеокарта PCI-EX Nvidia ASUS 1024Mb GT610 64b DDR3 SILENT 810/1200 HDMI+DVI+CRT Low Profile RTL GT6
В9021;3197;Очки 3D Samsung SSG-P2100X
В9391;1590;Память DDR3 4096Mb 1333MHz Kingmax
В6155;1590;Память DDR3 4096Mb 1333MHz Kingston
Д3603;950;Память SO-DIMM DDR3 2064M 1600MHz, Kingston KVR16S11/2
Г6644;1550;Память SO-DIMM DDR3 4096M 1333MHz
Г6492;1580;Память SO-DIMM DDR3 4096M 1333MHz Corsair (CMSO4GX3M1A1333C9) RTL
Г7661;1500;Вентилятор S_775/939/754/AM2/AM3/1366/1156 Cooler Master Hyper 412S (TDP 250W, 4xCuprum Heat pipes,
Д4308;1510;Вентилятор S_775/939/754/AM2/AM3/1366/1156/FM1 Cooler Master 212X ARMY RR-212X-20PM-R1 Hyper (TDP 21
Д4307;480;Вентилятор S_775/939/754/AM2/AM3/1366/1156/FM1 Cooler Master Blizzard T2 mini RR-T2MN-22FP-R1 (TDP 7
Г4892;3010;Жесткий диск  500 Gb Seagate ST500NM0011 SATA-3 7200 rpm  64Mb
Д0951;2650;Жесткий диск  500 Gb WD WD5003AZEX Caviar Black 7200rpm  SATA-3  Cache 64MB
В8934;2090;Жесткий диск  500 GB WD5000AAKX SATA III 7200rpm 16mb
Д0621;2590;Жесткий диск для ноутбука (2,5,SATA) 1000Gb Seagate ST1000LM024 SATA 5400rpm 8Mb
Г5839;1550;Жесткий диск для ноутбука (2,5,SATA) 320Gb Hitachi HTS545032A7E380/HTS543232A7A384 SATA 5400rpm 8Mb
Г7024;1680;Жесткий диск для ноутбука (2,5,SATA) 500Gb Hitachi HTS545050A7E380 SATA 5400rpm 8Mb
Д7273;750;Привод DVD+/-RW LG GH24NS95 SATA <black supermulti oem></black>
Г1994;660;Привод DVD+/-RW Lite-On IHAS122-04/IHAS122-18 SATA черн.
Д4084;2790;Привод Blu-Ray Lite-On iHBS312-33 black RTL
Д4085;3100;Привод Blu-Ray Pioneer BDR-207EBK RTL черный
Д3278;2690;Привод Blu-Ray Pioneer BDR-208DBK черный
Г5621;870;Звуковая карта Creative SB 5.1 VX (PCI) BOX
Г8573;3350;Звуковая карта Creative SB Recon3D Fatal1ty Champion SB1350
Д7546;2990;Видеокарта PCI-EX NVidia ASUS 1024Mb GT640 DDR5 1046MHz, 1252MHz/64bit, PCI-Ex2.0, 1xDVI, 1xHDMI
Д1373;3990;Видеокарта PCI-EX Nvidia ASUS 1024Mb GTX650 DDR5 1058MHz, 5000MHz/128bit, PCI-Ex16, 1xDVI, 1xD-SUB,
Д1948;4890;Видеокарта PCI-EX NVidia ASUS 1024Mb GTX650TI DDR5 928MHz, 5400MHz/128 bit, PCI-E3.0 x16, 2xDVI, 1xD
Д3614;68980;Моноблок Apple 21.5 iMac MD094RS/A  2.9GHz IC i5/2x4Gb/1TB(5400)/650M(512MB)/FaceTime HD/Dual micro
Д5940;5890;Радар-детектор Cobra RU 935СТ X, K, Ka, Ku, VG-2, Лазер, Стрелка,  Город / Город2 / Трасса
Д7578;450;Корпус Crown CMС-SM600 (black) без БП %!!%
Г5432;1770;Память DDR3 4096Mb 1333MHz, Corsair 4GB 240 DIMM, 9-9-9-24, Unbuffered (CMV4GX3M1A1333C9
Г7537;1500;Память DDR3 4096Mb 1600MHz
Г8804;1680;Память SO-DIMM DDR3 4096M 1333MHz, Kingston
Д4961;1580;Память SO-DIMM DDR3 4096Mb 1333MHz Crucial
Д5387;2980;Память SO-DIMM DDR3 8192Mb 1333MHz Crucial (CT102464BF1339) RTL
Д4306;680;Вентилятор S_775/939/754/AM2/AM3/1366/1156/FM1 Cooler Master Blizzard T2 RR-T2-22FP-R1 (TDP 95-105W,
Д3430;2680;Вентилятор S_775/939/754/AM2/AM3/1366/1156/FM1 Cooler Master CLM-RL-S12M-24PK-R1 Seidon 120 Basic жи
Г6382;917;Вентилятор S_775/939/754/AM2/AM3/1366/1156/FM1 Cooler Master CPU Cooler S400 (TDP 150W, 4xCuprum Hea
Д3632;2090;Жесткий диск  500 GB WD5000AZRX SATA3 7200rpm 64Mb
Г5461;2350;Жесткий диск 1000 Gb Hitachi HDS721010DLE630/HT0F13180/DT01ACA100 SATA-III 7200rpm 32Mb
Г6495;2410;Жесткий диск 1000 Gb Seagate ST1000DM003 SATA3 7200rpm 64МБ
Д1343;2290;Жесткий диск для ноутбука (2,5,SATA-II) 1000Gb Hitachi HTS541010A9E680_0S03380 SATA2 5400rpm 8Mb
Д5821;2250;Жесткий диск для ноутбука (2,5,SATA-II) 1000Gb Toshiba MQ01ABD100 5400rpm, 8Mb
Д7520;1490;Жесткий диск для ноутбука (2,5,SATA-II) 250Gb Seagate ST250LT020, 5400rpm, 16Mb, 7mm (Momentus Thin
Д3059;630;Привод DVD+/-RW Lite-On IHAS124-04/14 SATA black
Г4012;917;Привод DVD+/-RW NEC AD7280S-0B SATA черный
Д6276;690;Привод DVD+/-RW Pioneer DVR-221BK 24x, SATA, Black (OEM)
Г9675;3740;Привод Blu-Ray Pioneer BDR-S07XLT RTL черный внутренний
В1245;240;Звуковая карта PCI VIA Tremor 5.1channel 1617
В7236;320;Звуковая карта PCI VIA Tremor 7.1channel  1618S
Г7642;850;Звуковая карта Terratec Sound System Aureon 5.1 PCI
Д5533;4390;Видеокарта PCI-EX Nvidia ASUS 2048Gb GTX650 DDR5 1071MHz, 5000MHz/128bit, PCI-Ex16, 1xDVI, 1xD-SUB,
Д5643;2250;Видеокарта PCI-EX NVidia ASUS 2048MB GT630 DDR3 SELENT 902Hz, 900MHz/64bit, PCI-Ex16, 1xDVI, 1xD-SUB
Г9870;3290;Видеокарта PCI-EX NVidia ASUS 2048MB GT640 DDR3 901Hz, 1782MHz/128bit, PCI-Ex16, 2xDVI, 1xD-SUB, 1xH
Д0059;14890;Моноблок IRU 18.5 110 HD Atom D2500/2Gb/250Gb/GMA 3600/DVDRW/WiFi/Web/MCR/kb/m/Lin /black
Д0244;28480;Моноблок Samsung 21.5 300A2A-S02 RU LFHD (1920 x 1080), Intel Core i3-2120T (2,60 GHz, 3 MB),4 GB,
Г8999;1050;Радар-детектор Digma RD-101 X,K,Ku,Ka,Laser + usb
Д5175;1850;Радар-детектор Inspector RD U2 ST K, Ka, Ku, X, обнаружение Стрелки, POP, Instant-On, детектор лаз
Д5177;3150;Радар-детектор Inspector RD X3 iota  K, Ka, X, обнаружение Стрелки, POP, Instant-On, детектор лазе
Г0460;830;Крепление для проектора Kromax PROJECTOR-10 потолочный, 3 ст. наклон, серебро
Д6296;19770;Проектор ACER P1273, DLP, XGA 1024*768, DLP 3D, 17000:1, 3000 ANSI Lumens, 2.4kg, HDMI
A2145;262;Заглушка 19 1U (2701)
В6611;11;Держатель с защелкой и дюбелем DKC / ДКС 51316 CT16 диаметр 16 мм  в комплекте с винтом, нейлон, цве
В5292;224;Настольный удлинитель Power Cube mini.,3 розетки,черный,1.8 м.
Г8314;1580;Память DDR3 4096Mb 1600MHz Hynix-1
Д7070;1490;Память DDR3 4096Mb 1600MHz Kingmax
Д4151;1980;Память DDR3 4096Mb 1600MHz Kingston ECC CL11 KVR16E11/4
Г7928;1460;Вентилятор S_775/939/754/AM2/AM3/1366/1156/FM1 Cooler Master Hyper 212 EVO(RR-212E-16PK-R1)
Г6381;560;Вентилятор S_775/939/754/AM2/AM3/1366/1156/FM1 Cooler Master S200 RR-S200-18FK-R1  (TDP 75-95W, 2xCu
Д4086;1200;Вентилятор S_775/939/754/AM2/AM3/1366/1156/FM1 Deepcool GAMMAXX 400 4pin 21-32dB Al+Cu 130W 709g гол
Д6530;3190;Жесткий диск 1000 Gb Seagate ST1000DX001 + 8Gb SSD SATA3 7200rpm 64МБ
Г9089;3100;Жесткий диск 1000 GB Seagate ST1000NM0011 SATA3 7200 rpm 64Mb
Д4751;3390;Жесткий диск 1000 Gb Seagate ST1000NM0033, Constellation ES.3, SATA-III, 7200 rpm, 128Mb buffer
Д6407;1600;Жесткий диск для ноутбука (2,5,SATA-II) 500Gb Toshiba  MQ01ABD050 (5400rpm) 8Mb 2.5
Д7389;1930;Жесткий диск для ноутбука (2,5,SATA-II) 750GB Toshiba MQ01ABD075 5400rpm 8Mb
Г9788;1890;Жесткий диск для ноутбука (2,5,SATA-III)  500Gb Hitachi HTS725050A7E630 SATA3 7200rpm 32Mb
Д0193;790;Привод DVD+/-RW Samsung S222AL/BESE SATA серебро
Г7535;790;Привод DVD+/-RW Samsung S222BB/BESE SATA серебряный
Д0748;790;Привод DVD+/-RW Samsung S222BB/BEWE SATA  белый
Д5099;3320;Видеокарта PCI-EX NVidia ASUS 2048MB GT640 DDR3 SILENT 901MHz, 1782MHz/128bit, PCI-Ex16, 2xDVI, 1xD-
Д6123;5800;Видеокарта PCI-EX NVidia ASUS 2048Mb GTX650TI DDR5 980MHz, 5400MHz/128 bit, PCI-E3.0 x16, 2xDVI, 1xD
Д6577;9190;Видеокарта PCI-EX NVidia ASUS 2048MB GTX760 DDR5 1006MHz,1506MHz/256 bit, PCI-E3.0 x16, 2xDVI, 1x HD
Д3256;11180;Моноблок Wibtek 21.5 A21TH61GS, noCPU,noRAM, noHDD 2,5, noDVD, Coller, FullHD LED,H61, 2xDDR3 SO-D
